epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.67197,4.99676,5.05313,4.83522,0,0,0,0,4.74495,4.62547,4.15108,0.0775,0.0025,0.0025
2,16.0944,4.8389,4.53272,4.56933,0,0,0,0,4.7341,4.505,4.13655,0.0540916,0.00509159,0.00509159
3,22.2234,4.42385,3.78735,4.13461,0,0,0,0,4.73336,3.97683,4.13661,0.0306746,0.00767459,0.00767459
4,28.2277,3.58496,2.85719,3.52461,0.04178,0.36765,0.05049,0.01208,3.81721,3.72877,3.83251,0.0099505,0.0099505,0.0099505
5,34.1095,3.1096,2.4866,3.19044,0.14642,0.15196,0.04808,0.00856,4.08018,3.7194,22.9472,0.009934,0.009934,0.009934
6,39.7744,2.69906,2.01809,2.97669,0.07297,0.17157,0.05489,0.00787,4.27135,10.7168,11.5814,0.0099175,0.0099175,0.0099175
7,45.663,2.55954,1.69313,2.86373,0.08809,0.68137,0.0784,0.02103,2.70965,21.0271,4.31247,0.009901,0.009901,0.009901
8,51.4901,2.38016,1.53315,2.80261,0.33031,0.50291,0.38991,0.12311,2.53521,2.68493,3.62262,0.0098845,0.0098845,0.0098845
9,57.3345,2.25121,1.37357,2.78343,0.65451,0.59433,0.61633,0.23087,2.20505,2.66325,3.39122,0.009868,0.009868,0.009868
10,63.203,2.21837,1.30883,2.75029,0.52942,0.53431,0.50156,0.15823,2.62049,2.19222,3.64443,0.0098515,0.0098515,0.0098515
11,68.8329,2.04583,1.21462,2.61687,0.75149,0.70098,0.74587,0.35428,1.99258,1.32142,3.11539,0.009835,0.009835,0.009835
12,75.0459,1.9851,1.19928,2.57315,0.85498,0.72251,0.84227,0.44666,1.8131,1.70937,3.06111,0.0098185,0.0098185,0.0098185
13,80.9047,1.90249,1.10131,2.55495,0.81215,0.76471,0.82176,0.4133,1.77125,2.28001,3.12179,0.009802,0.009802,0.009802
14,86.5676,1.86667,1.10564,2.58588,0.78425,0.72549,0.8199,0.416,1.7976,1.08268,3.04802,0.0097855,0.0097855,0.0097855
15,92.2236,1.80723,1.06689,2.49875,0.83853,0.78915,0.84477,0.42699,1.86348,1.08129,2.93771,0.009769,0.009769,0.009769
16,97.8684,1.80469,1.08432,2.51937,0.83427,0.77941,0.8579,0.4952,1.56272,1.06046,3.09843,0.0097525,0.0097525,0.0097525
17,103.72,1.74021,1.04419,2.46617,0.73386,0.70289,0.75657,0.4016,1.75813,1.21499,2.87153,0.009736,0.009736,0.009736
18,109.395,1.71449,1.02685,2.41736,0.85149,0.78697,0.85274,0.42337,1.77789,1.05642,2.73742,0.0097195,0.0097195,0.0097195
19,115.045,1.70492,0.98555,2.3673,0.8282,0.77981,0.86444,0.44967,1.68243,1.06699,2.72853,0.009703,0.009703,0.009703
20,120.682,1.64396,0.99398,2.45555,0.86594,0.79162,0.89022,0.52355,1.51367,0.90003,2.78234,0.0096865,0.0096865,0.0096865
21,126.544,1.63796,0.96964,2.36115,0.82185,0.76889,0.84189,0.47233,1.57955,1.00194,2.64601,0.00967,0.00967,0.00967
22,132.225,1.62369,0.98097,2.27755,0.87508,0.82414,0.90161,0.51941,1.47154,0.9293,2.69679,0.0096535,0.0096535,0.0096535
23,138.173,1.60731,0.96719,2.32722,0.88044,0.76961,0.86949,0.44738,1.66266,1.01477,2.696,0.009637,0.009637,0.009637
24,143.826,1.56001,0.93473,2.23148,0.88932,0.78773,0.89918,0.54487,1.39453,0.91863,2.53682,0.0096205,0.0096205,0.0096205
25,149.68,1.55692,0.93107,2.27041,0.86706,0.73039,0.81635,0.49651,1.48752,1.14155,2.57247,0.009604,0.009604,0.009604
26,155.336,1.50962,0.88188,2.18756,0.85798,0.85784,0.92174,0.56456,1.38581,0.92441,2.51799,0.0095875,0.0095875,0.0095875
27,161.207,1.50675,0.88363,2.15423,0.82811,0.87378,0.90989,0.57484,1.3599,0.81755,2.50539,0.009571,0.009571,0.009571
28,167.037,1.49846,0.88509,2.15617,0.90121,0.80493,0.89481,0.56219,1.35282,0.95636,2.49541,0.0095545,0.0095545,0.0095545
29,172.716,1.46676,0.87634,2.13969,0.91226,0.76454,0.87527,0.53882,1.35344,0.89745,2.50779,0.009538,0.009538,0.009538
30,178.419,1.45658,0.87151,2.1204,0.89137,0.80447,0.90979,0.58692,1.29744,0.86362,2.41246,0.0095215,0.0095215,0.0095215
31,184.274,1.46194,0.86989,2.16862,0.84212,0.85784,0.9134,0.5485,1.34167,0.88165,2.48371,0.009505,0.009505,0.009505
32,189.944,1.46674,0.88523,2.16051,0.80314,0.7549,0.84157,0.4741,1.54661,1.0562,2.68605,0.0094885,0.0094885,0.0094885
33,195.605,1.45667,0.86202,2.08565,0.86581,0.79902,0.89416,0.54638,1.40081,0.84825,2.59585,0.009472,0.009472,0.009472
34,201.558,1.44437,0.86344,2.09967,0.82601,0.79127,0.84067,0.46921,1.48123,0.95709,2.52532,0.0094555,0.0094555,0.0094555
35,207.211,1.4366,0.85216,2.13151,0.93493,0.84521,0.91499,0.59316,1.29092,0.81216,2.3662,0.009439,0.009439,0.009439
36,213.082,1.40986,0.84173,2.06953,0.8558,0.86275,0.91477,0.56054,1.38059,0.88159,2.41097,0.0094225,0.0094225,0.0094225
37,218.741,1.39483,0.82834,2.08266,0.85669,0.86275,0.89926,0.56818,1.30159,0.85007,2.37489,0.009406,0.009406,0.009406
38,224.406,1.3722,0.81612,2.09433,0.86346,0.90196,0.92435,0.60052,1.29603,0.84778,2.28359,0.0093895,0.0093895,0.0093895
39,230.245,1.40324,0.82638,2.12118,0.911,0.85784,0.93339,0.60808,1.28066,0.78938,2.28489,0.009373,0.009373,0.009373
40,236.093,1.40415,0.83337,2.0756,0.90984,0.78431,0.89995,0.57405,1.31383,0.88043,2.41181,0.0093565,0.0093565,0.0093565
41,241.748,1.37684,0.81486,2.01741,0.85857,0.87255,0.91408,0.55711,1.40761,0.86632,2.4564,0.00934,0.00934,0.00934
42,247.44,1.35218,0.7884,2.08183,0.90143,0.83824,0.93453,0.59255,1.27968,0.82899,2.37851,0.0093235,0.0093235,0.0093235
43,253.085,1.33259,0.79264,2.00087,0.89458,0.87351,0.92942,0.60913,1.22574,0.77437,2.32033,0.009307,0.009307,0.009307
44,258.935,1.35699,0.79787,2.01799,0.90284,0.86542,0.94567,0.62434,1.19315,0.76191,2.24113,0.0092905,0.0092905,0.0092905
45,265.231,1.31351,0.77156,1.99426,0.92082,0.82843,0.94374,0.61328,1.19935,0.73931,2.29645,0.009274,0.009274,0.009274
46,270.926,1.31774,0.78711,2.0202,0.86398,0.84804,0.91452,0.60265,1.16104,0.79489,2.29585,0.0092575,0.0092575,0.0092575
47,276.601,1.33471,0.77196,1.99449,0.88661,0.86765,0.94688,0.61367,1.24639,0.77807,2.37825,0.009241,0.009241,0.009241
48,282.274,1.34412,0.78552,2.0568,0.90352,0.83333,0.92805,0.6111,1.20067,0.80422,2.25761,0.0092245,0.0092245,0.0092245
49,287.943,1.31761,0.79082,1.99759,0.90319,0.8689,0.94026,0.63209,1.15235,0.78085,2.29496,0.009208,0.009208,0.009208
50,293.807,1.31884,0.77756,1.98037,0.917,0.83824,0.89752,0.57444,1.27371,0.8381,2.39687,0.0091915,0.0091915,0.0091915
51,299.462,1.2919,0.75481,1.94954,0.93314,0.88235,0.95758,0.64085,1.18796,0.73626,2.25294,0.009175,0.009175,0.009175
52,305.33,1.30228,0.7632,1.97618,0.91818,0.88011,0.94779,0.61447,1.17379,0.7692,2.24081,0.0091585,0.0091585,0.0091585
53,310.974,1.30129,0.75827,2.00816,0.88704,0.88533,0.95066,0.63851,1.15464,0.73952,2.22474,0.009142,0.009142,0.009142
54,316.65,1.31998,0.78428,1.99263,0.90378,0.87487,0.92431,0.61226,1.19071,0.75871,2.29467,0.0091255,0.0091255,0.0091255
55,322.302,1.30874,0.76519,1.98523,0.92536,0.82843,0.91252,0.60517,1.27789,0.82338,2.24791,0.009109,0.009109,0.009109
56,328.421,1.3077,0.74437,1.96914,0.92347,0.88732,0.96101,0.66781,1.13264,0.71061,2.27052,0.0090925,0.0090925,0.0090925
57,334.546,1.26995,0.73505,1.99396,0.92541,0.8514,0.95394,0.64913,1.12425,0.70104,2.20779,0.009076,0.009076,0.009076
58,340.203,1.27784,0.76195,1.94253,0.89715,0.90196,0.96256,0.63893,1.19888,0.71348,2.1874,0.0090595,0.0090595,0.0090595
59,345.868,1.29413,0.76108,1.97204,0.9236,0.88889,0.96547,0.68722,1.10278,0.69895,2.19808,0.009043,0.009043,0.009043
60,351.746,1.2694,0.74894,1.98963,0.89847,0.82843,0.9187,0.6225,1.1579,0.80582,2.2245,0.0090265,0.0090265,0.0090265
61,357.418,1.25715,0.72896,1.93305,0.92397,0.86275,0.95054,0.64171,1.15786,0.71665,2.27205,0.00901,0.00901,0.00901
62,363.086,1.26372,0.74659,1.98744,0.88195,0.90196,0.93914,0.6513,1.16758,0.74958,2.19885,0.0089935,0.0089935,0.0089935
63,368.745,1.26467,0.74425,1.90544,0.91711,0.87745,0.95397,0.64044,1.14668,0.71092,2.17192,0.008977,0.008977,0.008977
64,374.403,1.24011,0.73419,1.91692,0.94805,0.83824,0.94629,0.66039,1.1003,0.71662,2.24129,0.0089605,0.0089605,0.0089605
65,380.064,1.26312,0.73877,1.92464,0.86044,0.87255,0.91659,0.62571,1.13948,0.78107,2.239,0.008944,0.008944,0.008944
66,385.727,1.26073,0.74043,1.93239,0.87998,0.89216,0.94358,0.6349,1.17801,0.74319,2.13126,0.0089275,0.0089275,0.0089275
67,391.667,1.24725,0.74213,1.92947,0.89381,0.86647,0.94996,0.65571,1.08571,0.76727,2.17751,0.008911,0.008911,0.008911
68,397.665,1.25198,0.75261,1.9316,0.91287,0.87306,0.94486,0.6601,1.1312,0.69923,2.22502,0.0088945,0.0088945,0.0088945
69,403.336,1.2381,0.72856,1.92134,0.93545,0.86765,0.93883,0.6496,1.11815,0.71738,2.20899,0.008878,0.008878,0.008878
70,409.003,1.25254,0.73159,1.91079,0.88123,0.93137,0.96011,0.66331,1.09895,0.67531,2.19434,0.0088615,0.0088615,0.0088615
71,414.68,1.22428,0.71299,1.91522,0.92251,0.9337,0.97125,0.67299,1.13056,0.66508,2.08642,0.008845,0.008845,0.008845
72,420.345,1.21884,0.71111,1.90068,0.92273,0.87806,0.9515,0.66036,1.06211,0.69452,2.16262,0.0088285,0.0088285,0.0088285
73,425.994,1.22904,0.72282,1.86487,0.93806,0.88725,0.95591,0.67613,1.08674,0.66852,2.13304,0.008812,0.008812,0.008812
74,431.667,1.22529,0.7041,1.91152,0.91288,0.87326,0.95262,0.68373,1.09137,0.67042,2.11733,0.0087955,0.0087955,0.0087955
75,437.335,1.22714,0.72826,1.94946,0.94745,0.88376,0.95827,0.66413,1.10227,0.68259,2.13002,0.008779,0.008779,0.008779
76,442.979,1.21641,0.72256,1.92835,0.92696,0.87096,0.94851,0.655,1.1026,0.69038,2.11931,0.0087625,0.0087625,0.0087625
77,448.659,1.21269,0.71646,1.85995,0.93611,0.90686,0.95839,0.65817,1.12235,0.68774,2.2133,0.008746,0.008746,0.008746
78,454.31,1.19574,0.69972,1.86275,0.92277,0.87856,0.9564,0.68957,1.05021,0.65981,2.13839,0.0087295,0.0087295,0.0087295
79,460.522,1.21006,0.71293,1.88022,0.90226,0.85294,0.92959,0.65062,1.08475,0.72747,2.18439,0.008713,0.008713,0.008713
80,466.183,1.20687,0.69156,1.88327,0.92454,0.84083,0.94089,0.67531,1.04046,0.68587,2.1642,0.0086965,0.0086965,0.0086965
81,471.842,1.17672,0.68833,1.84646,0.90299,0.91667,0.96513,0.66562,1.07297,0.68845,2.09697,0.00868,0.00868,0.00868
82,477.528,1.19182,0.70169,1.85866,0.90915,0.93208,0.96256,0.67788,1.03832,0.65211,2.12058,0.0086635,0.0086635,0.0086635
83,483.186,1.19623,0.6994,1.89873,0.91197,0.91176,0.96,0.70024,0.98922,0.62828,2.11267,0.008647,0.008647,0.008647
84,489.053,1.18197,0.69243,1.84518,0.94271,0.91176,0.96902,0.68399,1.05265,0.64084,2.03078,0.0086305,0.0086305,0.0086305
85,494.717,1.18561,0.69431,1.92323,0.92097,0.91401,0.95729,0.70378,1.02185,0.66528,2.147,0.008614,0.008614,0.008614
86,500.57,1.16905,0.67229,1.85307,0.91452,0.90686,0.96074,0.67933,1.06642,0.67608,2.16745,0.0085975,0.0085975,0.0085975
87,506.236,1.2071,0.69789,1.84217,0.93019,0.91448,0.96513,0.69812,1.02647,0.62802,2.0655,0.008581,0.008581,0.008581
88,511.915,1.17268,0.67297,1.88433,0.932,0.89706,0.95681,0.69029,1.03744,0.65418,2.14843,0.0085645,0.0085645,0.0085645
89,517.583,1.18434,0.68182,1.89708,0.9579,0.89216,0.96444,0.68934,1.09415,0.66558,2.06318,0.008548,0.008548,0.008548
90,523.575,1.20213,0.70479,1.88257,0.89681,0.91667,0.96571,0.67314,1.08349,0.66733,2.15781,0.0085315,0.0085315,0.0085315
91,529.241,1.15523,0.66984,1.91546,0.94969,0.92157,0.97504,0.69052,1.05811,0.6189,2.1331,0.008515,0.008515,0.008515
92,534.899,1.16973,0.67642,1.87965,0.95386,0.91197,0.97487,0.70199,1.0201,0.6275,2.16688,0.0084985,0.0084985,0.0084985
93,540.774,1.17587,0.68221,1.83331,0.94637,0.93627,0.96934,0.67557,1.08702,0.65285,2.15242,0.008482,0.008482,0.008482
94,546.435,1.15066,0.65576,1.82895,0.95007,0.90196,0.95471,0.67171,1.06297,0.65421,2.14075,0.0084655,0.0084655,0.0084655
95,552.124,1.15863,0.68182,1.84573,0.88807,0.91667,0.93632,0.67176,1.00537,0.6653,2.17188,0.008449,0.008449,0.008449
96,557.755,1.14649,0.65534,1.83989,0.94953,0.89216,0.96438,0.68703,1.07771,0.64143,2.11633,0.0084325,0.0084325,0.0084325
97,563.413,1.15927,0.66609,1.87116,0.9097,0.93832,0.97366,0.70491,0.98865,0.59691,2.12298,0.008416,0.008416,0.008416
98,569.273,1.15408,0.6517,1.83501,0.96815,0.89411,0.9722,0.69884,1.06535,0.64301,2.1255,0.0083995,0.0083995,0.0083995
99,574.929,1.13109,0.65654,1.80944,0.92119,0.9167,0.96284,0.68317,1.02353,0.62445,2.09501,0.008383,0.008383,0.008383
100,580.58,1.13308,0.67153,1.85371,0.93257,0.88139,0.94901,0.65637,1.07851,0.65734,2.15392,0.0083665,0.0083665,0.0083665
101,586.588,1.15046,0.67105,1.81366,0.93032,0.91633,0.96429,0.69788,1.00903,0.62497,2.07953,0.00835,0.00835,0.00835
102,592.262,1.14879,0.66526,1.84525,0.92468,0.91667,0.96528,0.69909,1.0117,0.62171,2.12827,0.0083335,0.0083335,0.0083335
103,597.927,1.13901,0.66664,1.82304,0.93573,0.92779,0.97008,0.7125,1.00393,0.60736,2.04965,0.008317,0.008317,0.008317
104,603.775,1.1451,0.65587,1.85341,0.9233,0.93627,0.98023,0.71244,1.02991,0.59552,2.05009,0.0083005,0.0083005,0.0083005
105,609.665,1.14836,0.67792,1.79789,0.92593,0.90686,0.96635,0.68178,1.04163,0.64348,2.08231,0.008284,0.008284,0.008284
106,615.322,1.11198,0.65807,1.84551,0.9213,0.91176,0.96245,0.69636,0.99906,0.62213,2.13428,0.0082675,0.0082675,0.0082675
107,620.982,1.14354,0.6585,1.796,0.91988,0.90047,0.96683,0.70973,1.02287,0.63005,2.0835,0.008251,0.008251,0.008251
108,626.653,1.1465,0.66488,1.86319,0.93769,0.95896,0.97813,0.7026,1.02884,0.58504,2.11319,0.0082345,0.0082345,0.0082345
109,632.32,1.13284,0.6506,1.79138,0.92004,0.90248,0.93796,0.65615,1.03898,0.64885,2.16293,0.008218,0.008218,0.008218
110,638.003,1.10254,0.65296,1.8161,0.92558,0.95588,0.98209,0.71362,0.98844,0.58581,2.05948,0.0082015,0.0082015,0.0082015
111,643.903,1.13299,0.64532,1.78783,0.94973,0.92613,0.97422,0.69025,1.05319,0.59018,2.03887,0.008185,0.008185,0.008185
112,649.559,1.13685,0.64537,1.84961,0.93806,0.94118,0.97032,0.70594,1.00913,0.59368,2.07721,0.0081685,0.0081685,0.0081685
113,655.211,1.10123,0.6302,1.79255,0.95183,0.94118,0.98218,0.70401,1.00282,0.60023,2.09072,0.008152,0.008152,0.008152
114,660.878,1.11699,0.64587,1.85162,0.91017,0.94366,0.97858,0.71948,0.98685,0.5996,2.09887,0.0081355,0.0081355,0.0081355
115,666.735,1.11558,0.64368,1.82894,0.91841,0.95098,0.97767,0.70747,1.00047,0.58189,2.01949,0.008119,0.008119,0.008119
116,672.41,1.12194,0.6499,1.81456,0.94207,0.95668,0.98519,0.72274,1.01981,0.58459,2.04655,0.0081025,0.0081025,0.0081025
117,678.261,1.12912,0.63708,1.80291,0.94093,0.937,0.9781,0.71195,0.99024,0.59286,2.05902,0.008086,0.008086,0.008086
118,683.914,1.104,0.63122,1.79325,0.9549,0.9342,0.96799,0.70253,0.99898,0.615,2.03205,0.0080695,0.0080695,0.0080695
119,689.59,1.10808,0.644,1.8276,0.91763,0.9284,0.96118,0.7026,0.98384,0.61716,2.08405,0.008053,0.008053,0.008053
120,695.256,1.10541,0.63695,1.81855,0.94081,0.91667,0.97692,0.73799,0.95133,0.60084,1.96034,0.0080365,0.0080365,0.0080365
121,701.127,1.10751,0.63487,1.79661,0.89524,0.97059,0.97206,0.70319,0.99596,0.61163,2.07721,0.00802,0.00802,0.00802
122,706.8,1.08202,0.62116,1.76831,0.93217,0.94312,0.97111,0.72532,0.96344,0.58615,2.04624,0.0080035,0.0080035,0.0080035
123,712.83,1.09967,0.62763,1.81184,0.92555,0.97505,0.97398,0.71527,1.01293,0.59211,2.02916,0.007987,0.007987,0.007987
124,718.49,1.10924,0.6294,1.80694,0.91523,0.90196,0.95415,0.67408,1.03911,0.65283,2.09536,0.0079705,0.0079705,0.0079705
125,724.175,1.11357,0.62031,1.75226,0.94631,0.9503,0.97579,0.70178,1.01012,0.56623,1.99298,0.007954,0.007954,0.007954
126,729.831,1.11587,0.63412,1.7562,0.93611,0.92647,0.97648,0.70907,1.0154,0.60324,2.01429,0.0079375,0.0079375,0.0079375
127,735.525,1.10861,0.63358,1.77565,0.94461,0.92157,0.97577,0.71012,0.98985,0.6119,2.09725,0.007921,0.007921,0.007921
128,741.178,1.10358,0.63379,1.79797,0.93195,0.93137,0.97642,0.72265,0.95424,0.57856,2.03053,0.0079045,0.0079045,0.0079045
129,746.851,1.09067,0.62346,1.76563,0.95977,0.94118,0.97798,0.72062,0.98477,0.59665,2.02302,0.007888,0.007888,0.007888
130,752.518,1.09927,0.62853,1.75836,0.96065,0.95588,0.98123,0.7179,1.01107,0.57715,2.03276,0.0078715,0.0078715,0.0078715
131,758.161,1.09769,0.62567,1.75569,0.93681,0.94472,0.97918,0.73401,0.97073,0.56436,2.01197,0.007855,0.007855,0.007855
132,763.836,1.10407,0.63212,1.78682,0.93832,0.94608,0.97943,0.72826,0.98559,0.5748,2.08355,0.0078385,0.0078385,0.0078385
133,769.521,1.11589,0.63828,1.82985,0.9437,0.93627,0.97415,0.70938,0.99467,0.60405,2.08473,0.007822,0.007822,0.007822
134,775.188,1.09972,0.63472,1.77954,0.92523,0.95098,0.97198,0.71327,0.97686,0.5939,2.05478,0.0078055,0.0078055,0.0078055
135,780.847,1.07372,0.61227,1.73872,0.94184,0.95263,0.98358,0.72208,0.95661,0.55531,2.05651,0.007789,0.007789,0.007789
136,786.517,1.09068,0.6186,1.76411,0.96657,0.90686,0.98161,0.73104,0.94575,0.56988,2.01417,0.0077725,0.0077725,0.0077725
137,792.175,1.07152,0.61529,1.76585,0.92766,0.95098,0.97715,0.72874,0.95883,0.58548,2.05769,0.007756,0.007756,0.007756
138,797.838,1.07721,0.61807,1.79462,0.92017,0.96569,0.97379,0.72072,0.97224,0.57687,2.06927,0.0077395,0.0077395,0.0077395
139,803.471,1.07982,0.62882,1.77757,0.95524,0.94164,0.97099,0.72265,0.93265,0.56573,2.03904,0.007723,0.007723,0.007723
140,809.143,1.07663,0.62415,1.75944,0.93925,0.96078,0.97923,0.72373,0.94951,0.57178,2.04921,0.0077065,0.0077065,0.0077065
141,814.804,1.08793,0.62939,1.76233,0.9331,0.95715,0.96798,0.72018,0.94203,0.58516,2.05406,0.00769,0.00769,0.00769
142,820.471,1.07617,0.61055,1.76553,0.94852,0.92647,0.97671,0.71898,0.9546,0.58225,2.01346,0.0076735,0.0076735,0.0076735
143,826.121,1.07931,0.61942,1.77933,0.94288,0.89008,0.95107,0.68764,1.03762,0.65779,2.16499,0.007657,0.007657,0.007657
144,831.797,1.06596,0.62105,1.74687,0.91064,0.89216,0.9439,0.65776,1.10248,0.68792,2.31523,0.0076405,0.0076405,0.0076405
145,837.457,1.09599,0.62204,1.73611,0.92122,0.9745,0.97538,0.70362,1.01039,0.58023,2.04301,0.007624,0.007624,0.007624
146,843.136,1.07329,0.62561,1.78305,0.94158,0.94811,0.9833,0.71509,1.00373,0.57161,2.01186,0.0076075,0.0076075,0.0076075
147,848.799,1.05849,0.60278,1.72965,0.90724,0.95891,0.97619,0.7026,0.99899,0.56164,2.03262,0.007591,0.007591,0.007591
148,854.472,1.08625,0.60978,1.78387,0.94052,0.94608,0.97619,0.7327,0.95363,0.56239,2.04302,0.0075745,0.0075745,0.0075745
149,860.163,1.04685,0.59903,1.73534,0.94361,0.91667,0.96667,0.71036,0.98518,0.60219,2.06197,0.007558,0.007558,0.007558
